Designator,Val,Package,Mid X, Mid Y,Rotation,Layer
"C3","1u","C_0402_1005Metric",119.550000,-46.700000,180.000000,top
"C4","4.7u","C_0402_1005Metric",125.100000,-47.200000,-90.000000,top
"C16","100n","C_0402_1005Metric",126.200000,-46.250000,90.000000,top
"R1","10k","R_0402_1005Metric",132.260000,-43.200000,0.000000,top
"R6","5.1k","R_0402_1005Metric",142.500000,-34.700000,180.000000,top
"R7","5.1k","R_0402_1005Metric",146.550000,-35.150000,-90.000000,top
"SW19","SW_Push","C318884",124.500000,-36.000000,90.000000,top
"SW20","SW_Push","C318884",130.500000,-36.000000,90.000000,top
"U1","STM32G0B1KEUx","QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm_ThermalVias",130.000000,-47.000000,0.000000,top
"U2","TLV73333PDBV","SOT-23-5",122.550000,-47.650000,180.000000,top
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-Assembly",145.000000,-30.184000,180.000000,top
